date,Rolling prior probability,Rolling prior probability [sigmoid],Logistic [balanced],Logistic [balanced] [sigmoid],Logistic oriented [balanced],Logistic oriented [balanced] [sigmoid],Penalized logistic [balanced],Penalized logistic [balanced] [sigmoid],Explicit interactions [balanced],Explicit interactions [balanced] [sigmoid],RBF SVM [balanced],RBF SVM [balanced] [sigmoid],Random forest [balanced],Random forest [balanced] [sigmoid],Gradient boosting [balanced],Gradient boosting [balanced] [sigmoid],Choquistic 1-additive [balanced],Choquistic 1-additive [balanced] [sigmoid],Choquistic 2-additive [balanced],Choquistic 2-additive [balanced] [sigmoid],MLP,MLP [sigmoid],Fuzzy Choquet neural network [balanced],Fuzzy Choquet neural network [balanced] [sigmoid],Logistic [unweighted],Logistic [unweighted] [sigmoid],Logistic oriented [unweighted],Logistic oriented [unweighted] [sigmoid],Penalized logistic [unweighted],Penalized logistic [unweighted] [sigmoid],Explicit interactions [unweighted],Explicit interactions [unweighted] [sigmoid],RBF SVM [unweighted],RBF SVM [unweighted] [sigmoid],Random forest [unweighted],Random forest [unweighted] [sigmoid],Gradient boosting [unweighted],Gradient boosting [unweighted] [sigmoid],Choquistic 1-additive [unweighted],Choquistic 1-additive [unweighted] [sigmoid],Choquistic 2-additive [unweighted],Choquistic 2-additive [unweighted] [sigmoid],Fuzzy Choquet neural network [unweighted],Fuzzy Choquet neural network [unweighted] [sigmoid],Choquistic model aggregator [balanced],Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator [unweighted],Choquistic model aggregator [unweighted] [sigmoid]
2020-02-11,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-12,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-13,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-14,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-18,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-19,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-20,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-21,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-24,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-25,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-26,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-27,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-02-28,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-03-02,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-03-03,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-03-04,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-03-05,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
2020-03-06,0.01,0.01,0.00020367907027404582,0.06970224809092726,0.00020367907027404582,0.06970224809092726,0.00015004260605513243,0.06973435149042584,1.1938995472296324e-08,0.06537148776067685,0.007518711664652134,0.07140840495953707,0.07058375365469897,0.0696855859579159,0.004726828148412263,0.08093553924452125,0.018508237490423282,0.07200329224258699,0.014422048343752115,0.07427948613583998,2.307125762202633e-12,0.074977625977762,0.08942256057620372,0.07515749600976938,2.770725648020325e-06,0.07554400963187219,2.770725648020325e-06,0.07554400963187219,1.5635799322887907e-05,0.07549303339553055,2.4309549956194747e-07,0.0637144475580094,0.024685857674733212,0.07126114228474612,0.01352694533926599,0.09188393003222085,0.001573054802098269,0.0834409350901359,0.003937416645309946,0.07692611706460449,0.005490699976054665,0.09868901559652482,0.07763621987310727,0.09933856990594443,0.500065612358318,0.0742228046261057,0.0267984382741728,0.07517073612124128
